state,row,col,grid
WA,1,0,01x00
VT,1,9,01x09
NH,1,10,01x10
ME,1,11,01x11
OR,2,0,02x00
ID,2,1,02x01
MT,2,2,02x02
ND,2,3,02x03
MN,2,4,02x04
WI,2,5,02x05
MI,2,6,02x06
NY,2,8,02x08
MA,2,9,02x09
RI,2,10,02x10
CA,3,0,03x00
NV,3,1,03x01
WY,3,2,03x02
SD,3,3,03x03
IA,3,4,03x04
IL,3,5,03x05
IN,3,6,03x06
OH,3,7,03x07
PA,3,8,03x08
NJ,3,9,03x09
CT,3,10,03x10
UT,4,1,04x01
CO,4,2,04x02
NE,4,3,04x03
MO,4,4,04x04
TN,4,5,04x05
WV,4,6,04x06
DC,4,7,04x07
MD,4,8,04x08
DE,4,9,04x09
AZ,5,1,05x01
NM,5,2,05x02
KS,5,3,05x03
AR,5,4,05x04
MS,5,5,05x05
KY,5,6,05x06
VA,5,7,05x07
NC,5,8,05x08
OK,6,3,06x03
LA,6,4,06x04
AL,6,6,06x06
GA,6,7,06x07
SC,6,8,06x08
AK,7,0,07x00
HI,7,1,07x01
TX,7,3,07x03
FL,7,9,07x09
